"Date","Price","Open","High","Low","Vol.","Change %"
"02/24/2016","250","250","250","250","2.41M","0.00%"
"02/23/2016","250","252","252","249","10.75M","-0.79%"
"02/22/2016","252","250","252","250","2.32M","0.00%"
"02/19/2016","252","255","255","250","4.76M","-1.18%"
"02/18/2016","255","258","260","252","5.02M","0.00%"
"02/17/2016","255","252","260","252","6.94M","0.00%"
"02/16/2016","255","252","255","252","2.26M","1.19%"
"02/15/2016","252","255","260","250","8.10M","-1.18%"
"02/12/2016","255","250","255","250","2.48M","1.19%"
"02/11/2016","252","250","258","250","15.05M","0.80%"
"02/10/2016","250","250","252","250","3.87M","0.00%"
"02/09/2016","250","255","255","249","7.23M","-1.96%"
"02/05/2016","255","252","262","252","12.20M","2.00%"
"02/04/2016","250","252","255","250","8.22M","0.00%"
"02/03/2016","250","250","252","249","3.12M","-0.79%"
"02/02/2016","252","250","252","250","2.36M","0.80%"
"02/01/2016","250","252","252","250","1.60M","0.00%"
"01/29/2016","250","250","252","248","6.31M","-0.79%"
"01/28/2016","252","250","252","250","549.60K","1.20%"
"01/27/2016","249","250","252","248","3.08M","-0.40%"
"01/26/2016","250","250","252","247","1.96M","0.00%"
"01/25/2016","250","250","252","250","3.75M","0.00%"
"01/22/2016","250","252","258","248","4.90M","-3.10%"
"01/21/2016","258","250","258","248","5.31M","3.20%"
"01/20/2016","250","250","252","248","5.10M","0.00%"
"01/19/2016","250","250","255","250","2.85M","0.00%"
"01/18/2016","250","250","250","248","3.36M","0.00%"
"01/15/2016","250","255","260","249","11.22M","-0.79%"
"01/14/2016","252","255","258","250","7.20M","-2.33%"
"01/13/2016","258","260","262","255","13.68M","0.00%"
"01/12/2016","258","260","260","258","10.75M","0.00%"
"01/11/2016","258","260","262","255","5.72M","-1.53%"
"01/08/2016","262","268","268","260","4.86M","-2.24%"
"01/07/2016","268","262","268","258","8.66M","2.29%"
"01/06/2016","262","268","268","260","7.41M","-1.13%"
"01/05/2016","265","275","275","262","6.71M","-2.57%"
"01/04/2016","272","275","275","270","1.52M","-1.09%"
"12/30/2015","275","270","275","268","4.74M","2.61%"
"12/29/2015","268","270","275","265","7.62M","-1.47%"
"12/28/2015","272","272","278","270","13.13M","0.74%"
"12/23/2015","270","272","272","268","5.81M","-0.74%"
"12/22/2015","272","278","278","270","5.59M","-1.09%"
"12/21/2015","275","272","275","268","4.81M","1.85%"
"12/18/2015","270","272","272","265","7.81M","-0.74%"
"12/17/2015","272","270","278","268","15.57M","1.49%"
"12/16/2015","268","265","270","260","7.41M","2.29%"
"12/15/2015","262","262","265","260","3.71M","0.00%"
"12/14/2015","262","260","272","258","9.72M","-1.13%"
"12/11/2015","265","268","268","258","12.75M","-1.12%"
"12/10/2015","268","270","272","262","6.75M","-1.47%"
"12/08/2015","272","265","272","265","7.24M","1.49%"
"12/07/2015","268","270","275","265","6.88M","-0.74%"
"12/04/2015","270","275","278","268","9.89M","-2.88%"
"12/03/2015","278","268","278","265","5.34M","2.96%"
"12/02/2015","270","270","272","265","4.52M","0.00%"
"12/01/2015","270","272","275","270","1.24M","-2.88%"
"11/30/2015","278","272","278","265","9.45M","2.21%"
"11/27/2015","272","275","275","268","9.22M","-1.09%"
"11/26/2015","275","278","278","268","12.52M","-1.08%"
"11/25/2015","278","275","282","272","12.05M","0.00%"
"11/24/2015","278","280","282","275","9.77M","-0.71%"
"11/23/2015","280","280","285","278","11.49M","0.72%"
"11/20/2015","278","272","280","270","17.64M","2.21%"
"11/19/2015","272","262","280","262","49.50M","3.82%"
"11/18/2015","262","262","270","262","8.83M","0.00%"
"11/17/2015","262","255","268","252","13.76M","3.97%"
"11/16/2015","252","260","260","252","6.90M","-2.33%"
"11/13/2015","258","258","260","255","8.75M","-0.77%"
"11/12/2015","260","258","260","250","6.57M","1.96%"
"11/11/2015","255","250","260","248","15.02M","2.00%"
"11/10/2015","250","249","255","246","12.10M","0.40%"
"11/09/2015","249","248","250","246","3.40M","-0.40%"
"11/06/2015","250","248","250","247","3.15M","0.81%"
"11/05/2015","248","246","248","244","5.54M","1.22%"
"11/04/2015","245","245","252","242","18.51M","0.41%"
"11/03/2015","244","242","244","242","33.06M","0.83%"
"11/02/2015","242","242","243","240","5.62M","0.00%"
"10/30/2015","242","243","244","242","13.98M","-0.82%"
"10/29/2015","244","248","248","242","13.81M","-1.61%"
"10/28/2015","248","249","249","244","6.37M","0.00%"
"10/27/2015","248","250","252","245","17.54M","-1.59%"
"10/26/2015","252","250","252","248","13.84M","0.80%"
"10/23/2015","250","252","255","249","9.44M","0.00%"
"10/22/2015","250","250","252","248","8.91M","0.00%"
"10/21/2015","250","248","250","245","11.99M","0.81%"
"10/20/2015","248","246","248","244","6.39M","0.81%"
"10/19/2015","246","244","248","244","7.38M","0.82%"
"10/16/2015","244","239","246","239","22.02M","2.09%"
"10/15/2015","239","242","246","235","23.16M","-1.24%"
"10/13/2015","242","249","249","242","9.01M","-2.81%"
"10/12/2015","249","252","258","248","17.12M","-0.40%"
"10/09/2015","250","252","255","248","37.74M","-0.79%"
"10/08/2015","252","248","255","248","6.37M","1.61%"
"10/07/2015","248","248","249","246","3.26M","0.00%"
"10/06/2015","248","248","248","246","10.61M","1.22%"
"10/05/2015","245","242","248","242","14.59M","1.24%"
"10/02/2015","242","242","242","238","3.67M","0.00%"
"10/01/2015","242","244","246","240","2.42M","-1.22%"
"09/30/2015","245","239","245","238","9.75M","2.51%"
"09/29/2015","239","240","240","234","7.68M","-0.42%"
"09/28/2015","240","246","246","240","4.43M","-2.44%"
"09/25/2015","246","242","246","240","3.91M","0.82%"
"09/23/2015","244","246","248","240","2.12M","-2.01%"
"09/22/2015","249","250","250","245","2.49M","-0.40%"
"09/21/2015","250","250","250","244","1.47M","0.00%"
"09/18/2015","250","250","252","249","3.46M","0.40%"
"09/17/2015","249","248","249","246","1.56M","1.22%"
"09/16/2015","246","248","252","244","2.63M","0.41%"
"09/15/2015","245","242","245","241","11.18M","0.41%"
"09/14/2015","244","246","248","240","11.57M","0.00%"
"09/11/2015","244","245","248","244","2.48M","-0.41%"
"09/10/2015","245","247","247","243","3.02M","0.00%"
"09/09/2015","245","248","249","243","3.46M","-0.81%"
"09/08/2015","247","248","250","242","5.49M","-0.40%"
"09/07/2015","248","258","258","248","7.81M","-3.88%"
"09/04/2015","258","255","258","252","4.86M","1.18%"
"09/03/2015","255","252","258","252","3.65M","0.00%"
"09/02/2015","255","255","260","250","7.30M","0.00%"
"09/01/2015","255","255","285","249","12.31M","0.00%"
"08/31/2015","255","236","255","236","15.38M","8.05%"
"08/28/2015","236","236","238","234","8.71M","1.72%"
"08/27/2015","232","230","235","228","6.80M","1.31%"
"08/26/2015","229","226","231","222","8.89M","1.33%"
"08/25/2015","226","228","232","220","4.66M","-1.74%"
"08/24/2015","230","220","231","210","5.93M","0.00%"
"08/21/2015","230","219","232","212","6.64M","4.55%"
"08/20/2015","220","225","228","220","5.06M","-3.51%"
"08/19/2015","228","233","233","228","3.64M","-1.72%"
"08/18/2015","232","238","238","230","5.30M","-2.52%"
"08/14/2015","238","238","240","235","2.90M","0.00%"
"08/13/2015","238","235","242","235","4.24M","2.59%"
"08/12/2015","232","242","242","231","10.25M","-4.13%"
"08/11/2015","242","250","252","242","16.73M","-3.20%"
"08/10/2015","250","248","252","248","3.95M","0.81%"
"08/07/2015","248","255","255","245","6.87M","-0.80%"
"08/06/2015","250","252","255","250","23.07M","0.00%"
"08/05/2015","250","258","262","250","31.54M","-3.10%"
"08/04/2015","258","268","268","255","21.29M","-3.73%"
"08/03/2015","268","272","272","262","11.48M","-1.47%"
"07/31/2015","272","250","275","250","26.51M","6.67%"
"07/30/2015","255","258","262","255","12.27M","0.00%"
"07/29/2015","255","258","262","252","14.69M","0.00%"
"07/28/2015","255","258","258","250","8.93M","-1.16%"
"07/27/2015","258","260","262","258","3.01M","-1.53%"
"07/24/2015","262","260","262","258","7.78M","0.77%"
"07/23/2015","260","260","265","258","5.68M","0.00%"
"07/22/2015","260","260","262","258","3.50M","0.00%"
"07/15/2015","260","268","268","260","12.26M","-2.99%"
"07/14/2015","268","265","270","262","20.71M","2.29%"
"07/13/2015","262","255","265","255","6.98M","2.75%"
"07/10/2015","255","265","268","255","30.02M","-2.67%"
"07/09/2015","262","272","272","260","16.82M","-4.73%"
"07/08/2015","275","285","285","272","17.85M","-3.51%"
"07/07/2015","285","280","285","275","39.04M","2.52%"
"07/06/2015","278","285","285","278","8.34M","-2.46%"
"07/03/2015","285","278","285","278","4.70M","1.79%"
"07/02/2015","280","285","285","278","9.21M","-0.71%"
"07/01/2015","282","282","285","278","6.71M","0.00%"
"06/30/2015","282","278","282","275","22.84M","0.00%"
"06/29/2015","282","280","282","270","19.30M","0.00%"
"06/26/2015","282","285","288","278","8.31M","-1.05%"
